id,name,description,itemized_description
1443,Miraculous Call,"ATK & DEF +12% per Ki Sphere obtained; 
plus an additional ATK +20% and Ki +2 
per Rainbow Ki Sphere obtained; randomly 
changes Ki Spheres of a certain Type 
to Rainbow Ki Spheres when there is a 
""Shadow Dragon Saga"" Category enemy","*Basic effect(s)*
- Receives an additional Ki +2 per Rainbow Ki Sphere obtained
*For every Ki Sphere obtained*
- ATK & DEF 12%{passiveImg:up_g}
*For every Rainbow Ki Sphere obtained*
- ATK 20%{passiveImg:up_g}
*When there is a ""Shadow Dragon Saga"" Category enemy*
- Randomly changes Ki Spheres of a certain Type to Rainbow
Ki Spheres"
1444,Fragments of Hope,"ATK +77% when performing a Super Attack; 
Ki +1 per ""Dragon Ball Seekers"" Category ally 
on the team","*When attacking with 12 or more Ki*
- ATK 77%{passiveImg:up_g}
*Per ""Dragon Ball Seekers"" Category ally on the team*
- Ki +1"
1445,Universe's Hope,"ATK & DEF +77% when performing a Super Attack; 
Ki +1 per ""Dragon Ball Seekers"" Category ally 
on the team","*When attacking with 12 or more Ki*
- ATK & DEF 77%{passiveImg:up_g}
*Per ""Dragon Ball Seekers"" Category ally on the team*
- Ki +1"
1446,"Love, Courage and Pride","ATK & DEF +77% when performing 
a Super Attack, plus an additional ATK +77% 
if it is an Ultra Super Attack; Ki +1 per 
""Dragon Ball Seekers"" Category ally on the team","*When attacking with 12 or more Ki*
- ATK & DEF 77%{passiveImg:up_g}
*When attacking with 18 or more Ki*
- ATK 77%{passiveImg:up_g}
*Per ""Dragon Ball Seekers"" Category ally on the team*
- Ki +1"
1447,Possession of the Hated,"Ki +2 and ATK & DEF +70%; plus an additional 
Ki +2 and ATK +30% when there is a ""Pure Saiyans"" 
Category enemy; plus an additional Ki +2 and ATK +30% 
when there is a ""Hybrid Saiyans"" Category enemy","*Basic effect(s)*
- Ki +2 and ATK & DEF 70%{passiveImg:up_g}
*When there is a ""Pure Saiyans"" Category enemy*
- Ki +2 and ATK 30%{passiveImg:up_g}
*When there is a ""Hybrid Saiyans"" Category enemy*
- Ki +2 and ATK 30%{passiveImg:up_g}"
1448,Saiyan Power Absorbed,"Ki +2 and ATK & DEF +80%; plus an additional 
Ki +2 and ATK +40% when there is a ""Pure Saiyans"" 
Category enemy; plus an additional Ki +2 and ATK +40% 
when there is a ""Hybrid Saiyans"" Category enemy","*Basic effect(s)*
- Ki +2 and ATK & DEF 80%{passiveImg:up_g}
*When there is a ""Pure Saiyans"" Category enemy*
- Ki +2 and ATK 40%{passiveImg:up_g}
*When there is a ""Hybrid Saiyans"" Category enemy*
- Ki +2 and ATK 40%{passiveImg:up_g}"
1449,Return of the Tuffles,"Ki +3 and ATK & DEF +100%; plus an additional 
Ki +3 and ATK +50% when there is a ""Pure Saiyans"" 
Category enemy; plus an additional Ki +3 and ATK +50% 
when there is a ""Hybrid Saiyans"" Category enemy; 
turns into Giant Ape when conditions are met","*Basic effect(s)*
- Ki +3 and ATK & DEF 100%{passiveImg:up_g}
*When there is a ""Pure Saiyans"" Category enemy*
- Ki +3 and ATK 50%{passiveImg:up_g}
*When there is a ""Hybrid Saiyans"" Category enemy*
- Ki +3 and ATK 50%{passiveImg:up_g}
*When HP is 40% or less*
- {passiveImg:once}High chance of turning into Giant Ape"
1450,Return of the Tuffles,"Ki +3 and ATK & DEF +100%; plus an additional 
Ki +3 and ATK +50% when there is a ""Pure Saiyans"" 
Category enemy; plus an additional Ki +3 and ATK +50% 
when there is a ""Hybrid Saiyans"" Category enemy; 
turns into Giant Ape when conditions are met","*Basic effect(s)*
- Ki +3 and ATK & DEF 100%{passiveImg:up_g}
*When there is a ""Pure Saiyans"" Category enemy*
- Ki +3 and ATK 50%{passiveImg:up_g}
*When there is a ""Hybrid Saiyans"" Category enemy*
- Ki +3 and ATK 50%{passiveImg:up_g}
*When HP is 40% or less*
- {passiveImg:once}High chance of turning into Giant Ape"
1451,Evil Roar,An additional Ki +1 per Ki Sphere obtained,"*Basic effect(s)*
- Receives an additional Ki +1 per Ki Sphere obtained"
1452,Focused on Pursuing Power,"ATK & DEF +70%; plus an additional 
ATK +5% per Ki Sphere obtained","*Basic effect(s)*
- ATK & DEF 70%{passiveImg:up_g}
*For every Ki Sphere obtained*
- ATK 5%{passiveImg:up_g}"
1453,This is Super Saiyan,"ATK & DEF +80%; plus an additional 
ATK +6% per Ki Sphere obtained; 
Transforms when conditions are met","*Basic effect(s)*
- ATK & DEF 80%{passiveImg:up_g}
*For every Ki Sphere obtained*
- ATK 6%{passiveImg:up_g}
*Starting from the 3rd turn from the start of battle*
- Transforms"
1454,This is Super Saiyan,"ATK & DEF +80%; plus an additional 
ATK +6% per Ki Sphere obtained; 
Transforms when conditions are met","*Basic effect(s)*
- ATK & DEF 80%{passiveImg:up_g}
*For every Ki Sphere obtained*
- ATK 6%{passiveImg:up_g}
*Starting from the 3rd turn from the start of battle*
- Transforms"
1455,Beyond Super Saiyan,"ATK & DEF +90%; plus an additional 
ATK +7% per Ki Sphere obtained; 
Transforms when conditions are met","*Basic effect(s)*
- ATK & DEF 90%{passiveImg:up_g}
*For every Ki Sphere obtained*
- ATK 7%{passiveImg:up_g}
*On the character's next attacking turn*
- Transforms again"
1456,Beyond Super Saiyan,"ATK & DEF +90%; plus an additional 
ATK +7% per Ki Sphere obtained; 
Transforms when conditions are met","*Basic effect(s)*
- ATK & DEF 90%{passiveImg:up_g}
*For every Ki Sphere obtained*
- ATK 7%{passiveImg:up_g}
*On the character's next attacking turn*
- Transforms again"
1457,Overwhelming Combat Strength,"ATK & DEF +100%; plus an additional 
ATK +8% per Ki Sphere obtained; 
Transforms when conditions are met","*Basic effect(s)*
- ATK & DEF 100%{passiveImg:up_g}
*For every Ki Sphere obtained*
- ATK 8%{passiveImg:up_g}
*On the character's next attacking turn*
- Transforms again"
1458,Overwhelming Combat Strength,"ATK & DEF +100%; plus an additional 
ATK +8% per Ki Sphere obtained; 
Transforms when conditions are met","*Basic effect(s)*
- ATK & DEF 100%{passiveImg:up_g}
*For every Ki Sphere obtained*
- ATK 8%{passiveImg:up_g}
*On the character's next attacking turn*
- Transforms again"
1459,Form Needed for Victory,"ATK & DEF +110%; plus an additional 
ATK +9% per Ki Sphere obtained; 
Transforms when conditions are met","*Basic effect(s)*
- ATK & DEF 110%{passiveImg:up_g}
*For every Ki Sphere obtained*
- ATK 9%{passiveImg:up_g}
*On the character's next attacking turn*
- Transforms again"
1460,Form Needed for Victory,"ATK & DEF +110%; plus an additional 
ATK +9% per Ki Sphere obtained; 
Transforms when conditions are met","*Basic effect(s)*
- ATK & DEF 110%{passiveImg:up_g}
*For every Ki Sphere obtained*
- ATK 9%{passiveImg:up_g}
*On the character's next attacking turn*
- Transforms again"
1461,Saiyan's Vow and Resolve,"ATK & DEF +120%; plus an additional 
ATK +10% per Ki Sphere obtained; changes 
all Ki Spheres to PHY Ki Spheres (once only)","*Basic effect(s)*
- ATK & DEF 120%{passiveImg:up_g}
- {passiveImg:once}Changes Ki Spheres: All to PHY
*For every Ki Sphere obtained*
- ATK 10%{passiveImg:up_g}"
1462,Confident,"ATK & DEF +70%; raises ATK & DEF 
by up to 90% (the more HP remaining, 
the greater the stat boost)","*Basic effect(s)*
- ATK & DEF 70%{passiveImg:up_g}
*The more HP remaining*
- ATK & DEF{passiveImg:up_g} (up to 90%)"
1463,Difference Resulting from Training,"ATK & DEF +80%; raises ATK & DEF by 
up to 120% (the more HP remaining, the greater 
the stat boost); performs a critical hit when 
there is an ""Androids"" Category enemy","*Basic effect(s)*
- ATK & DEF 80%{passiveImg:up_g}
*The more HP remaining*
- ATK & DEF{passiveImg:up_g} (up to 120%)
*When there is an ""Androids"" Category enemy*
- Performs a critical hit"
1464,Humanity's Last Hope,"Ki +2 and ATK & DEF +30% for all allies; 
ATK & DEF +70% when there are 2 or more 
""Vegeta's Family"" Category allies on the team","*Basic effect(s)*
- All allies' Ki +2 and ATK & DEF 30%{passiveImg:up_g}
*When 2 or more ""Vegeta's Family"" Category allies are on the
team*
- ATK & DEF 70%{passiveImg:up_g}"
1465,Mortals' True Power,"Ki +2 and ATK & DEF +90%; all allies' 
ATK & DEF +30% when there are 2 or more 
""Vegeta's Family"" Category allies on the team","*Basic effect(s)*
- Ki +2 and ATK & DEF 90%{passiveImg:up_g}
*When 2 or more ""Vegeta's Family"" Category allies are on the
team*
- All allies' ATK & DEF 30%{passiveImg:up_g}"
1466,Joyful Miracle,"Randomly changes Ki Spheres of a certain Type 
to Rainbow Ki Spheres; ATK +30% and Ki +2 per 
Rainbow Ki Sphere obtained; reduces damage 
received by 30% as the 1st attacker in a turn","*Basic effect(s)*
- Randomly changes Ki Spheres of a certain Type to Rainbow
Ki Spheres
- Receives an additional Ki +2 per Rainbow Ki Sphere obtained
*For every Rainbow Ki Sphere obtained*
- ATK 30%{passiveImg:up_g}
*As the 1st attacker in a turn*
- Damage reduction rate 30%{passiveImg:up_g}"
1467,Copied Personality,"ATK & DEF +40%; ATK & DEF +20% 
at start of each turn (up to 80%) and 
all enemies ATK & DEF -20% when there 
is a ""Vegeta's Family"" Category enemy","*Basic effect(s)*
- ATK & DEF 40%{passiveImg:up_g}
*When there is a ""Vegeta's Family"" Category enemy*
- {passiveImg:forever}ATK & DEF 20%{passiveImg:up_g} at the start of each turn (up to 80%)
- All enemies' ATK & DEF 20%{passiveImg:down_y}"
1468,Copied Ability,"ATK & DEF +60%; ATK & DEF +30% 
at start of each turn (up to 90%) and 
all enemies ATK & DEF -30% when there 
is a ""Vegeta's Family"" Category enemy","*Basic effect(s)*
- ATK & DEF 60%{passiveImg:up_g}
*When there is a ""Vegeta's Family"" Category enemy*
- {passiveImg:forever}ATK & DEF 30%{passiveImg:up_g} at the start of each turn (up to 90%)
- All enemies' ATK & DEF 30%{passiveImg:down_y}"
1469,You're Going Down Fast!,"Ki +3 and DEF +50% for 5 turns 
from the character's entry turn; 
ATK +90% when performing a Super Attack","*For 5 turn(s) from the character's entry turn*
- Ki +3 and DEF 50%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK 90%{passiveImg:up_g}"
1470,Ultra Divine Water's Effect,"ATK & DEF +59%; plus an additional ATK boost by 
up to 50% (the more HP remaining, the greater 
the ATK boost) and an additional DEF boost by 
up to 50% (the less HP remaining, the greater 
the DEF boost); Ki +1 and ATK & DEF +10% at 
start of each turn (ATK & DEF up to +50%)","*Basic effect(s)*
- ATK & DEF 59%{passiveImg:up_g}
*The more HP remaining*
- ATK{passiveImg:up_g} (up to 50%)
*The less HP remaining*
- DEF{passiveImg:up_g} (up to 50%)
*At the start of each turn*
- {passiveImg:forever}Ki +1 and ATK & DEF 10%{passiveImg:up_g} (up to 50%)"
1471,One Last Gamble,"ATK & DEF +77%; plus an additional ATK boost by up to 59% 
(the more HP remaining, the greater the ATK boost) and 
an additional DEF boost by up to 59% (the less HP remaining, 
the greater the DEF boost); Ki +1 and ATK & DEF +10% 
at start of each turn (ATK & DEF up to +59%); performs 
a critical hit when HP is 59% or less (once only)","*Basic effect(s)*
- ATK & DEF 77%{passiveImg:up_g}
*The more HP remaining*
- ATK{passiveImg:up_g} (up to 59%)
*The less HP remaining*
- DEF{passiveImg:up_g} (up to 59%)
*At the start of each turn*
- {passiveImg:forever}Ki +1 and ATK & DEF 10%{passiveImg:up_g} (up to 59%)
*When HP is 59% or less*
- {passiveImg:once}Performs a critical hit"
1472,The True Terror of the Demon King,"DEF +80%; Ki +2 and ATK +150% 
for 5 turns from the character's entry turn; 
Ki +1 and ATK +100% starting from the 
6th turn from the character's entry turn","*Basic effect(s)*
- DEF 80%{passiveImg:up_g}
*For 5 turn(s) from the character's entry turn*
- Ki +2 and ATK 150%{passiveImg:up_g}
*Starting from the 6th turn from the character's entry turn*
- Ki +1 and ATK 100%{passiveImg:up_g}"
1473,The Terrifying Strength of Full Power,"DEF +100%; Ki +3 and ATK +200% 
for 5 turns from the character's entry turn; 
Ki +2 and ATK +120% starting from the 
6th turn from the character's entry turn","*Basic effect(s)*
- DEF 100%{passiveImg:up_g}
*For 5 turn(s) from the character's entry turn*
- Ki +3 and ATK 200%{passiveImg:up_g}
*Starting from the 6th turn from the character's entry turn*
- Ki +2 and ATK 120%{passiveImg:up_g}"
1474,Mutaito's Disciple,"DEF +120%; ATK +588% when 
performing a Super Attack (once only)","*Basic effect(s)*
- DEF 120%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- {passiveImg:once}ATK 588%{passiveImg:up_g}"
1475,Life-risking Resolve,"DEF +150%; ATK +628%, DEF -100%, 
performs a critical hit and stuns self 
and the attacked enemy when 
performing a Super Attack (once only)","*Basic effect(s)*
- DEF 150%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- {passiveImg:once}ATK 628%{passiveImg:up_g} and DEF 100%{passiveImg:down_r}
- {passiveImg:once}Performs a critical hit
- {passiveImg:once}Stuns self and the attacked enemy"
1476,Furious Fighting Spirit,"ATK +140% when performing a Super Attack; 
DEF +70% when Ki is 11 or less","*When attacking with 9 or more Ki*
- ATK 140%{passiveImg:up_g}
*When attacking with 11 or less Ki*
- DEF 70%{passiveImg:up_g}"
1477,Goku's Attack!,"ATK +88% at start of turn; 
DEF +88% when performing a Super Attack","*Basic effect(s)*
- ATK 88%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- DEF 88%{passiveImg:up_g}"
1479,Flash of Spirit,"Ki +2 and ATK +100% at start of turn; 
DEF +100% when performing a Super Attack","*Basic effect(s)*
- Ki +2 and ATK 100%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- DEF 100%{passiveImg:up_g}"
1480,Distorted History,"DEF +15% with each attack received (up to 60%); 
""Future Saga"" Category allies' ATK +20% and DEF +10%; 
""Time Travelers"" Category allies' ATK +20% and DEF +10%","*Basic effect(s)*
- ""Future Saga"" Category allies' ATK 20%{passiveImg:up_g} and DEF 10%{passiveImg:up_g}
- ""Time Travelers"" Category allies' ATK 20%{passiveImg:up_g} and DEF
10%{passiveImg:up_g}
*For every attack received*
- {passiveImg:forever}DEF 15%{passiveImg:up_g} (up to 60%)"
1481,Vegeta is Ready!,"DEF +88% at start of turn; 
ATK +88% when performing a Super Attack","*Basic effect(s)*
- DEF 88%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK 88%{passiveImg:up_g}"
1482,Assassin's Territory,"Changes INT Ki Spheres to Rainbow Ki Spheres; 
medium chance of evading enemy's attack 
(including Super Attack); ATK +66% when 
performing a Super Attack; medium chance of 
stunning the attacked enemy","*Basic effect(s)*
- Changes Ki Spheres: INT to Rainbow
- Medium chance of evading enemy's attack
- Medium chance of stunning the attacked enemy
*When attacking with 12 or more Ki*
- ATK 66%{passiveImg:up_g}"
1483,Honoring Our Brethren,"ATK & DEF +15% per ""Universe 6"" Category ally 
on the team; Ki +1 and ATK & DEF +30% per 
""Namekians"" Category ally on the team","*Per ""Universe 6"" Category ally on the team*
- ATK & DEF 15%{passiveImg:up_g}
*Per ""Namekians"" Category ally on the team*
- Ki +1 and ATK & DEF 30%{passiveImg:up_g}"
1484,God of Destruction's Advantage,Medium chance of ATK +200%,"*Basic effect(s)*
- Medium chance of ATK 200%{passiveImg:up_g}"
1485,Angel's Perspective,"Medium chance of evading enemy's attack 
(including Super Attack); ""Universe 6"" 
Category allies' Ki +1 and ATK & DEF +20%","*Basic effect(s)*
- Medium chance of evading enemy's attack
- ""Universe 6"" Category allies' Ki +1 and ATK & DEF 20%{passiveImg:up_g}"
1486,Angel's Advice,"High chance of evading enemy's attack 
(including Super Attack); ""Universe 6"" 
Category allies' Ki +2 and ATK & DEF +30%","*Basic effect(s)*
- High chance of evading enemy's attack
- ""Universe 6"" Category allies' Ki +2 and ATK & DEF 30%{passiveImg:up_g}"
1487,Strengthened by Boundless Dreams,"ATK & DEF +30%; launches an additional 
attack that has a medium chance of becoming 
a Super Attack; Ki +1 and ATK & DEF +10% 
with each attack performed (Ki up to +3 and 
ATK & DEF up to +70%); disables Rampage","*Basic effect(s)*
- ATK & DEF 30%{passiveImg:up_g}
- Launches an additional attack that has a medium chance of
becoming a Super Attack
- Disables Rampage
*For every attack performed*
- {passiveImg:forever}Ki +1 (up to +3) and ATK & DEF 10%{passiveImg:up_g} (up to 70%)"
1488,Secret Power Dormant in the Heart,"ATK & DEF +40%; launches an additional 
attack that has a medium chance of becoming 
a Super Attack; Ki +1 and ATK & DEF +10% 
with each attack performed (Ki up to +4 and 
ATK & DEF up to +80%); disables Rampage","*Basic effect(s)*
- ATK & DEF 40%{passiveImg:up_g}
- Launches an additional attack that has a medium chance of
becoming a Super Attack
- Disables Rampage
*For every attack performed*
- {passiveImg:forever}Ki +1 (up to +4) and ATK & DEF 10%{passiveImg:up_g} (up to 80%)"
1489,Super Duper Miraculous Technique,"ATK & DEF +58%; launches an additional 
attack that has a medium chance of becoming 
a Super Attack; Ki +1 and ATK & DEF +10% 
with each attack performed (Ki up to +5 and 
ATK & DEF up to +100%); disables Rampage","*Basic effect(s)*
- ATK & DEF 58%{passiveImg:up_g}
- Launches an additional attack that has a medium chance of
becoming a Super Attack
- Disables Rampage
*For every attack performed*
- {passiveImg:forever}Ki +1 (up to +5) and ATK & DEF 10%{passiveImg:up_g} (up to 100%)"
1490,New Battles Ahead,"""Movie Heroes"" Category ally Ki +1 
and ATK & DEF +30%; ATK & DEF +70% 
when there is a ""Movie Bosses"" Category 
enemy; disables Rampage","*Basic effect(s)*
- ""Movie Heroes"" Category allies' Ki +1 and ATK & DEF 30%{passiveImg:up_g}
- Disables Rampage
*When there is a ""Movie Bosses"" Category enemy*
- ATK & DEF 70%{passiveImg:up_g}"
1491,Combat Vision,"""Movie Heroes"" Category ally Ki +2 
and ATK & DEF +40%; ATK & DEF +100% 
when there is a ""Movie Bosses"" Category 
enemy; disables Rampage","*Basic effect(s)*
- ""Movie Heroes"" Category allies' Ki +2 and ATK & DEF 40%{passiveImg:up_g}
- Disables Rampage
*When there is a ""Movie Bosses"" Category enemy*
- ATK & DEF 100%{passiveImg:up_g}"
