id,name,itemized_description
2170,Numbing Pressure,"*Basic effect(s)*
- ATK & DEF 80%{passiveImg:up_g}
*When 3 or more ""Universe 11"" Category allies are on the
team*
- ATK & DEF 80%{passiveImg:up_g}
*When there is another ""Universe 11"" Category ally attacking
in the same turn*
- Guards all attacks"
2171,Light to Smite Evil,"*Basic effect(s)*
- ATK & DEF 110%{passiveImg:up_g}
- ""Universe 11"" Category allies' Ki +3 and ATK & DEF 30%{passiveImg:up_g}
*When 3 or more ""Universe 11"" Category allies are on the
team*
- ATK & DEF 110%{passiveImg:up_g}
*When there is another ""Universe 11"" Category ally attacking
in the same turn*
- Guards all attacks"
2172,Power from Confirmed Resolution,"*Basic effect(s)*
- ATK & DEF 70%{passiveImg:up_g}
- All allies' Ki +1 and ATK & DEF 40%{passiveImg:up_g}
- All enemies' DEF 70%{passiveImg:down_y}
*When HP is 70% or less*
- Damage reduction rate 40%{passiveImg:up_g}"
2173,Speed of Light,"*At the start of each turn*
- {passiveImg:forever}ATK 20%{passiveImg:up_g}
- {passiveImg:forever}Chance of evading enemy's attack 20%{passiveImg:up_g} (up to 60%)
*After evading an attack*
- ATK 20%{passiveImg:up_g}"
2174,Moved to Tears,"*Basic effect(s)*
- ATK & DEF 77%{passiveImg:up_g}
- Receives an additional Ki +1 per Ki Sphere obtained
*For every Ki Sphere obtained*
- ATK & DEF 7%{passiveImg:up_g}
- Chance of performing a critical hit 7%{passiveImg:up_g}
- Recovers 7777 HP
*For 1000 turn(s) from the character's entry turn*
- An additional DEF 1000{passiveImg:up_g} per Ki Sphere obtained
*For 2000 turn(s) from the character's entry turn*
- An additional ATK 2000{passiveImg:up_g} per Ki Sphere obtained"
2175,Trusty Power Pole and Flying Nimbus,"*Basic effect(s)*
- ATK & DEF 59%{passiveImg:up_g}
- Super Class allies' Ki +2 and ATK & DEF 30%{passiveImg:up_g}
- Medium chance of evading enemy's attack
*When HP is 59% or less*
- Super Class allies' ATK & DEF 20%{passiveImg:up_g}
*When there is an ally whose name includes ""Gohan (Kid)""
attacking in the same turn*
- Ki +3
- Chance of performing a critical hit 59%{passiveImg:up_g}"
2176,Reunited Duo,"*Basic effect(s)*
- ATK & DEF 100%{passiveImg:up_g}
- Damage reduction rate 20%{passiveImg:up_g}
- Receives an additional Ki +1 per Type Ki Sphere obtained"
2177,Respective Inner Conflicts,"*Basic effect(s)*
- ATK & DEF 110%{passiveImg:up_g}
- Damage reduction rate 25%{passiveImg:up_g}
- Receives an additional Ki +1 per Type Ki Sphere obtained"
2178,A Common Goal,"*Basic effect(s)*
- ATK & DEF 120%{passiveImg:up_g}
- Damage reduction rate 30%{passiveImg:up_g}
- Receives an additional Ki +1 per Type Ki Sphere obtained
- Medium chance of launching an additional Super Attack"
2179,Invincible Fusion Father,"*Basic effect(s)*
- {passiveImg:once}Recovers 50% HP
- ATK & DEF 150%{passiveImg:up_g}
- Medium chance of performing a critical hit
- Receives an additional Ki +1 per Ki Sphere obtained
*When receiving a normal attack*
- Counters with tremendous power
*For 10 turn(s) from the character's entry turn*
- Ki +5
- Foresees enemy's Super Attack"
2180,Plan,"*Basic effect(s)*
- Recovers 8% HP at the start of turn
- ATK & DEF 100%{passiveImg:up_g}
- Receives an additional Ki +1 per Type Ki Sphere obtained"
2181,Concept,"*Basic effect(s)*
- Recovers 10% HP at the start of turn
- ATK & DEF 110%{passiveImg:up_g}
- Receives an additional Ki +1 per Type Ki Sphere obtained"
2182,Evil Scheme,"*Basic effect(s)*
- Recovers 12% HP at the start of turn
- ATK & DEF 120%{passiveImg:up_g}
- Receives an additional Ki +1 per Type Ki Sphere obtained
- Medium chance of launching an additional Super Attack"
2183,Potential of Evil,"*Basic effect(s)*
- Recovers 10% HP at the start of turn
- ATK & DEF 150%{passiveImg:up_g}
- Launches an additional attack that has a medium chance of
becoming a Super Attack
- Receives an additional Ki +1 per Ki Sphere obtained
*For 5 turns from the character's entry turn*
- Ki +5
- {passiveImg:once}Seals the attacked enemy's Super Attack for 5 turns"
2184,Ally's Aid,"*Basic effect(s)*
- Ki +2 and ATK & DEF 100%{passiveImg:up_g}
- ""Majin Buu Saga"" Category Super Class allies' ATK 20%{passiveImg:up_g}
and DEF 30%{passiveImg:up_g}
- Medium chance of stunning the attacked enemy
*When attacking with 12 or more Ki*
- ATK 50%{passiveImg:up_g}"
2185,Ally's Backup,"*Basic effect(s)*
- Ki +3 and ATK & DEF 150%{passiveImg:up_g}
- ""Majin Buu Saga"" Category Super Class allies' ATK 30%{passiveImg:up_g}
and DEF 50%{passiveImg:up_g}
- High chance of stunning the attacked enemy
*When attacking with 12 or more Ki*
- ATK 70%{passiveImg:up_g}"
2186,Majin's Calculations,"*Basic effect(s)*
- Recovers 10% HP at the start of turn
- Ki +2 and ATK & DEF 100%{passiveImg:up_g}
- ""Power Absorption"" Category allies' ATK 20%{passiveImg:up_g} and DEF
30%{passiveImg:up_g}
- Medium chance of evading enemy's attack"
2187,Majin's Scheme,"*Basic effect(s)*
- Recovers 15% HP at the start of turn
- Ki +3 and ATK & DEF 150%{passiveImg:up_g}
- ""Power Absorption"" Category allies' ATK 30%{passiveImg:up_g} and DEF
50%{passiveImg:up_g}
- Medium chance of evading enemy's attack"
2188,Nightmarish Mechanism,"*Basic effect(s)*
- Damage reduction rate 40%{passiveImg:up_g}
- ""Target: Goku"" Category allies' chance of performing a
critical hit 17%{passiveImg:up_g}
*For every attack received*
- {passiveImg:forever}Ki +1 (up to +3)
- {passiveImg:forever}ATK 30%{passiveImg:up_g} (up to 150%)
- {passiveImg:forever}Damage reduction rate 6%{passiveImg:up_g} (up to 30%)"
2189,Full-Power Body,"*Basic effect(s)*
- Ki +3 and ATK 100%{passiveImg:up_g}
*The more HP remaining*
- ATK & DEF{passiveImg:up_g} (up to 100%)
*When HP is 80% or more*
- Damage reduction rate 20%{passiveImg:up_g}
*After receiving an attack*
- Recovers 5% HP at the end of turn"
2190,Elegant Leap,"*Basic effect(s)*
- ATK & DEF 60%{passiveImg:up_g}
- Medium chance of evading enemy's attack
- Attacked enemy's ATK 20%{passiveImg:down_y} for 1 turn
- ""Special Pose"" Category allies' Ki +1 and ATK & DEF 20%{passiveImg:up_g}"
2191,Magnificent Leap,"*Basic effect(s)*
- ATK & DEF 80%{passiveImg:up_g}
- Medium chance of evading enemy's attack
- Attacked enemy's ATK 20%{passiveImg:down_y} for 2 turn(s)
- ""Special Pose"" Category allies' Ki +2 and ATK & DEF 30%{passiveImg:up_g}"
2192,Pursuit of Coolness,"*Basic effect(s)*
- Ki +2 and ATK & DEF 100%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 30%{passiveImg:up_g}
*Per ""Special Pose"" Category ally on the team*
- ATK 10%{passiveImg:up_g}
- Chance of performing a critical hit 5%{passiveImg:up_g}"
2193,Battle for Victory,"*Basic effect(s)*
- Ki +2 and ATK & DEF 80%{passiveImg:up_g}
*When facing only 1 enemy*
- DEF 80%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- {passiveImg:once}ATK 200%{passiveImg:up_g} and DEF 40%{passiveImg:down_r}
- {passiveImg:once}Stuns the attacked enemy for 2 turns"
2194,Filial Piety In the Past,"*Basic effect(s)*
- ATK & DEF 70%{passiveImg:up_g}
- Changes Ki Spheres: PHY to Rainbow
- Medium chance of evading enemy's attack
- ""Movie Heroes"" Category allies' Ki +2, ATK 20%{passiveImg:up_g} and DEF
10%{passiveImg:up_g}"
2195,Self-Realization,"*Basic effect(s)*
- Ki +3 and ATK & DEF 60%{passiveImg:up_g}
- ""Androids/Cell Saga"" Category allies' ATK 20%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK & DEF 60%{passiveImg:up_g}
*After receiving an attack*
- ATK 60%{passiveImg:up_g} for 3 turn(s)"
2204,Sacred Realm's Mightiest Sword,"*Basic effect(s)*
- ATK & DEF 120%{passiveImg:up_g}
- Guards all attacks
*At the start of each turn*
- {passiveImg:forever}Ki +1 (up to +2)"
2205,Elder Kai's Ritual,"*Basic effect(s)*
- ATK & DEF 140%{passiveImg:up_g}
- Guards all attacks
*After guard is activated*
- ATK 40%{passiveImg:up_g}
*At the start of each turn*
- {passiveImg:forever}Ki +1 (up to +3)"
2206,Elder Kai's Power-Up,"*Basic effect(s)*
- Ki +3 and ATK & DEF 158%{passiveImg:up_g}
- Guards all attacks
*After guard is activated*
- {passiveImg:forever}ATK 58%{passiveImg:up_g}
*When facing only 1 enemy and that enemy's HP is 58% or
more, or when there is a ""Majin Buu Saga"" Category enemy*
- Attacks are effective against all Types"
2207,Mortal-World Inspection,"*Basic effect(s)*
- ATK & DEF 100%{passiveImg:up_g}
- Attacked enemy's ATK & DEF 20%{passiveImg:down_y} for 2 turn(s)
- Medium chance of evading enemy's attack
- Recovers 8% HP at the end of turn"
2208,Situational Awareness,"*Basic effect(s)*
- Ki +2 and ATK & DEF 120%{passiveImg:up_g}
- Attacked enemy's ATK & DEF 30%{passiveImg:down_y} for 2 turn(s)
- High chance of evading enemy's attack
- Recovers 10% HP at the end of turn"
2209,End to Chaos,"*Basic effect(s)*
- Ki +3 and ATK & DEF 150%{passiveImg:up_g}
- {passiveImg:once}All enemies' ATK & DEF 20%{passiveImg:down_y}
- {passiveImg:once}Stuns the attacked enemy for 2 turn(s)
- Recovers 10% HP at the end of turn"
2210,Divine Endeavor,"*Basic effect(s)*
- ATK & DEF 100%{passiveImg:up_g}
- ""Realm of Gods"" Category allies' ATK & DEF 40%{passiveImg:up_g} and
chance of performing a critical hit 10%{passiveImg:up_g}
*After receiving an attack*
- Guards all attacks"
2211,"""Rock"" of Victory","*Basic effect(s)*
- ATK & DEF 35%{passiveImg:up_g}
*When attacking*
- Ki +3 and ATK & DEF 90%{passiveImg:up_g}"
2212,"""Scissors"" of Humiliation","*Basic effect(s)*
- ATK & DEF 35%{passiveImg:up_g}
*When attacking*
- Ki +2 and ATK & DEF 20%{passiveImg:up_g}
*After receiving an attack*
- Ki +2 and ATK & DEF 35%{passiveImg:up_g} for 3 turn(s)"
2213,Malicious Telepathy,"*Basic effect(s)*
- ATK & DEF 60%{passiveImg:up_g}
*When there is a ""Pure Saiyans"" or ""Hybrid Saiyans"" Category
enemy*
- {passiveImg:forever}ATK & DEF 30%{passiveImg:up_g} at the start of each turn (up to 90%)
*After delivering a final blow*
- Recovers 40% HP at the end of turn"
2214,Vegeta's Inner Thoughts,"*Basic effect(s)*
- ATK & DEF 50%{passiveImg:up_g}
*For every Ki when attacking*
- ATK & DEF 3%{passiveImg:up_g} (up to 36%)
*When the name of an ally who is attacking in the same turn or
an enemy includes ""Goku"" (Youth, Captain Ginyu, Jr., etc.
excluded)*
- Ki +2"
2215,Vegeta's Choice,"*Basic effect(s)*
- ATK & DEF 60%{passiveImg:up_g}
*For every Ki when attacking*
- ATK & DEF 4%{passiveImg:up_g} (up to 48%)
*When the name of an ally who is attacking in the same turn or
an enemy includes ""Goku"" (Youth, Captain Ginyu, Jr., etc.
excluded)*
- Ki +3"
2216,Vegeta's Determination,"*Basic effect(s)*
- ATK & DEF 70%{passiveImg:up_g}
*For every Ki when attacking*
- ATK & DEF 4%{passiveImg:up_g} (up to 70%)
*When the name of an ally who is attacking in the same turn or
an enemy includes ""Goku"" (Youth, Captain Ginyu, Jr., etc.
excluded)*
- Ki +3
*When there is a ""Majin Buu Saga"" Category ally whose name
includes ""Goku"" attacking in the same turn*
- Ki +3"
2217,A Living Super Saiyan 3,"*Basic effect(s)*
- ATK & DEF 100%{passiveImg:up_g}
*The more HP remaining*
- ATK & DEF{passiveImg:up_g} (up to 40%)
*For 1 turn from the character's entry turn*
- Attacks are effective against all Types
*When HP is 80% or less starting from the 3rd turn from the
start of battle*
- Deactivates transformation"
2218,A Living Super Saiyan 3,"*Basic effect(s)*
- ATK & DEF 120%{passiveImg:up_g}
*The more HP remaining*
- ATK & DEF{passiveImg:up_g} (up to 60%)
*For 3 turn(s) from the character's entry turn*
- Attacks are effective against all Types
*When HP is 80% or less starting from the 3rd turn from the
start of battle*
- Deactivates transformation"
2219,Everyone's Help,"*Basic effect(s)*
- ATK & DEF 100%{passiveImg:up_g}
*For every Rainbow Ki Sphere obtained*
- ATK 20%{passiveImg:up_g}
*With a Rainbow Ki Sphere obtained*
- Attacks are effective against all Types
*When all allies are ""Majin Buu Saga"" Category characters*
- Medium chance of performing a critical hit"
2220,Everyone's Help,"*Basic effect(s)*
- {passiveImg:once}Changes Ki Spheres: INT to Rainbow
- ATK & DEF 120%{passiveImg:up_g}
*For every Rainbow Ki Sphere obtained*
- ATK 30%{passiveImg:up_g}
*With a Rainbow Ki Sphere obtained*
- Attacks are effective against all Types
*When all allies are ""Majin Buu Saga"" Category characters*
- Medium chance of performing a critical hit"
2221,My Mighty Power,"*Basic effect(s)*
- Medium chance of evading enemy's attack
- ""Majin Buu Saga"" Category allies' Ki +2 and ATK & DEF
10%{passiveImg:up_g}
*When HP is 40% or more*
- Damage reduction rate 30%{passiveImg:up_g}
*After receiving 5 or more attacks in battle*
- Exchanges with Majin Buu (Good) on the character's next
attacking turn"
2222,My Mighty Power,"*Basic effect(s)*
- Medium chance of evading enemy's attack
- ""Majin Buu Saga"" Category allies' Ki +2 and ATK & DEF
20%{passiveImg:up_g}
*When HP is 40% or more*
- Damage reduction rate 40%{passiveImg:up_g}
*After receiving 5 or more attacks in battle*
- Exchanges with Majin Buu (Good) on the character's next
attacking turn"
2223,Divergence of Good and Evil,"*Basic effect(s)*
- ATK & DEF 80%{passiveImg:up_g}
- ""Majin Buu Saga"" Category allies' Ki +2 and ATK & DEF
20%{passiveImg:up_g}
*When there is a ""Majin Buu Saga"" Category ally whose name
includes ""Goku"" attacking in the same turn*
- Guards all attacks"
2224,Divergence of Good and Evil,"*Basic effect(s)*
- ATK & DEF 100%{passiveImg:up_g}
- ""Majin Buu Saga"" Category allies' Ki +2 and ATK & DEF
30%{passiveImg:up_g}
*When there is a ""Majin Buu Saga"" Category ally whose name
includes ""Hercule"" or ""Goku"" attacking in the same turn*
- Guards all attacks"
2225,Warrior's Resolve,"*Basic effect(s)*
- ATK & DEF 60%{passiveImg:up_g}
*The more HP remaining*
- Ki{passiveImg:up_g} (up to +3)
- ATK & DEF{passiveImg:up_g} (up to 60%)
*If HP is 60% or less when attacking with 12 or more Ki*
- {passiveImg:once}ATK 88%{passiveImg:up_g}"
2226,Redemption,"*Basic effect(s)*
- ATK & DEF 66%{passiveImg:up_g}
*For every attack received*
- {passiveImg:forever}Ki +1 (up to +3)
- {passiveImg:forever}ATK & DEF 22%{passiveImg:up_g} (up to 66%)
*When HP is 40% or less at the start of turn*
- Recovers 30% HP"
2227,Familial Friendship,"*Basic effect(s)*
- DEF 59%{passiveImg:up_g}
*When attacking with 12 or more Ki*
- ATK 59%{passiveImg:up_g}
*When attacking with 18 or more Ki*
- ATK 58%{passiveImg:up_g}
*As the 3rd attacker in a turn*
- Ki +5
- Recovers 8% HP at the end of turn"
2228,Supreme Kai's Life,"*Basic effect(s)*
- ATK & DEF 70%{passiveImg:up_g}
*The more HP remaining*
- ATK & DEF{passiveImg:up_g} (up to 20%)"
2229,A Living Super Saiyan 3,"*Basic effect(s)*
- ATK & DEF 80%{passiveImg:up_g}
*The more HP remaining*
- ATK & DEF{passiveImg:up_g} (up to 30%)
*When HP is 80% or less starting from the 3rd turn from the
start of battle*
- Deactivates transformation"
2230,A Living Super Saiyan 3,"*Basic effect(s)*
- ATK & DEF 80%{passiveImg:up_g}
*The more HP remaining*
- ATK & DEF{passiveImg:up_g} (up to 30%)
*When HP is 80% or less starting from the 3rd turn from the
start of battle*
- Deactivates transformation"
2231,Everyone's Help,"*Basic effect(s)*
- ATK & DEF 80%{passiveImg:up_g}
*For every Rainbow Ki Sphere obtained*
- ATK 20%{passiveImg:up_g}
*With a Rainbow Ki Sphere obtained*
- Attacks are effective against all Types"
2232,A Blessing in Disguise,"*Basic effect(s)*
- Medium chance of evading enemy's attack
*When HP is 50% or more*
- Damage reduction rate 30%{passiveImg:up_g}"
2233,My Mighty Power,"*Basic effect(s)*
- Medium chance of evading enemy's attack
- ""Majin Buu Saga"" Category allies' Ki +1 and ATK & DEF
10%{passiveImg:up_g}
*When HP is 50% or more*
- Damage reduction rate 30%{passiveImg:up_g}
*After receiving 5 or more attacks in battle*
- Exchanges with Majin Buu (Good) on the character's next
attacking turn"
2234,My Mighty Power,"*Basic effect(s)*
- Medium chance of evading enemy's attack
- ""Majin Buu Saga"" Category allies' Ki +1 and ATK & DEF
10%{passiveImg:up_g}
*When HP is 50% or more*
- Damage reduction rate 30%{passiveImg:up_g}
*After receiving 5 or more attacks in battle*
- Exchanges with Majin Buu (Good) on the character's next
attacking turn"
2235,Divergence of Good and Evil,"*Basic effect(s)*
- ATK & DEF 70%{passiveImg:up_g}
- ""Majin Buu Saga"" Category allies' Ki +2 and ATK & DEF
20%{passiveImg:up_g}"
2236,High-Speed Rotation,"*Basic effect(s)*
- Ki +3 and ATK & DEF 120%{passiveImg:up_g}
*When the target enemy is in the following status: {passiveImg:atk_down} or {passiveImg:def_down}*
- ATK & DEF 60%{passiveImg:up_g}
- Launches an additional Super Attack
*When the target enemy is in the following status: {passiveImg:astute}*
- Attacks are effective against all Types
- High chance of stunning the attacked enemy"
2237,Sneeze Enigma,- Sneezes and switches personalities
2238,Sneeze Enigma,- Sneezes and switches personalities
2239,Unreasonable Demand,"*Basic effect(s)*
- ATK & DEF 120%{passiveImg:up_g}
*For 6 turn(s) from the character's entry turn*
- Ki +3 and ATK & DEF 60%{passiveImg:up_g}
- High chance of performing a critical hit
- Launches 2 additional attacks, each of which has a high
chance of becoming a Super Attack
*When there is another ""Peppy Gals"" Category ally attacking
in the same turn*
- Seals the attacked enemy's Super Attack"
2240,The Bond with Majin Buu,"*Basic effect(s)*
- Great chance of Ki +7 and ATK 77%{passiveImg:up_g}
- Attacked enemy's ATK 22%{passiveImg:down_y} for 3 turn(s)
*For 3 turn(s) from the character's entry turn*
- Ki +3 and DEF 77%{passiveImg:up_g}
*After receiving an attack*
- High chance of evading enemy's attack for 3 turn(s)"
2241,Reputation in the Village,"*At the start of each turn*
- {passiveImg:forever}Ki +1 (up to +2)
- {passiveImg:forever}ATK & DEF 20%{passiveImg:up_g} (up to 40%)
*After receiving an attack*
- ATK 50%{passiveImg:up_g}"
2242,Strength When It Counts,"*At the start of each turn*
- {passiveImg:forever}Ki +1 (up to +3)
- {passiveImg:forever}ATK & DEF 20%{passiveImg:up_g} (up to 60%)
*After receiving an attack*
- ATK 70%{passiveImg:up_g}"
2243,Strength When It Counts,"*At the start of each turn*
- {passiveImg:forever}Ki +1 (up to +3)
- {passiveImg:forever}ATK & DEF 30%{passiveImg:up_g} (up to 90%)
*After receiving an attack*
- ATK 80%{passiveImg:up_g}"
